Suburb,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury
Belconnen,0,44,8,3,30,9,13,88,141,147,167,0,6
Braddon,0,19,0,3,11,0,9,38,38,61,52,0,1
City,0,112,21,8,7,5,13,59,320,214,162,0,4
Curtin,0,3,0,2,2,0,4,9,25,57,14,0,0
Dickson,0,7,0,0,22,1,7,16,30,71,45,0,1
Gungahlin,0,35,2,0,10,0,9,36,62,44,91,0,4
Lawson,0,1,1,0,2,0,0,8,1,5,10,0,0
Lyneham,0,9,0,1,13,0,8,20,42,74,63,0,2
O'Connor,0,4,2,1,15,0,9,7,27,55,30,0,4
Turner,0,5,0,1,10,0,5,18,8,35,17,0,0
Weston,0,3,0,0,6,1,3,17,22,17,30,0,2
